a,b,theta,E,E_p,E_t,machine_type,status,file_name
6.1,9.5,26.5,-27.426981176249683,-1.6733809169381857,-6.020054835593328,2,Done,BTBT_theta=26.5_a=6.1_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,9.6,26.5,-27.10199374705553,-1.512305375188589,-6.019345749169588,2,Done,BTBT_theta=26.5_a=6.2_b=9.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,9.2,25.5,-27.430419931188226,-1.0782755333930254,-6.318467216100544,1,Done,BTBT_theta=25.5_a=6.5_b=9.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.9,6.2,26.0,-39.462472373154014,-4.409324516775087,-7.66095583490096,1,Done,BTBT_theta=26.0_a=7.9_b=6.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,9.0,26.0,-28.057766779325902,-1.0990900401957333,-6.464896674733609,1,Done,BTBT_theta=26.0_a=6.5_b=9.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.9,6.4,26.5,-39.09707330120728,-4.316647564992309,-7.615944542805664,2,Done,BTBT_theta=26.5_a=7.9_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
8.0,6.5,26.5,-38.1415010727942,-4.155942254001275,-7.457404141197912,2,Done,BTBT_theta=26.5_a=8.0_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.6,26.5,-35.22263830713928,-10.950187552021816,-3.330565800773911,2,Done,BTBT_theta=26.5_a=3.9_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,8.9,25.5,-27.881047412287444,-1.317055638646707,-6.311734033748508,1,Done,BTBT_theta=25.5_a=6.3_b=8.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,9.6,26.5,-27.259988214820623,-1.6733809169381857,-5.978306595236063,2,Done,BTBT_theta=26.5_a=6.1_b=9.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.6,6.2,26.0,-39.36109185731039,-4.409324516775087,-7.635610705940053,1,Done,BTBT_theta=26.0_a=7.6_b=6.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,9.1,26.0,-27.80472964560613,-1.0990900401957333,-6.401637391303666,1,Done,BTBT_theta=26.0_a=6.5_b=9.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.9,6.5,26.5,-38.618107467424124,-4.155942254001275,-7.576555739855394,2,Done,BTBT_theta=26.5_a=7.9_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.5,26.5,-34.67204848444089,-10.704548762878405,-3.3157377396710217,2,Done,BTBT_theta=26.5_a=3.8_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,8.9,25.5,-28.117330028675497,-1.1911834080237895,-6.433740803156979,1,Done,BTBT_theta=25.5_a=6.4_b=8.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,9.7,26.5,-27.041890839114785,-1.6733809169381857,-5.923782251309604,2,Done,BTBT_theta=26.5_a=6.1_b=9.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.9,6.6,26.5,-38.03193782642484,-3.966158129507676,-7.524905391852371,2,Done,BTBT_theta=26.5_a=7.9_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
